time,h1,h2,h3,h4,h5,h6
04:00:00,-0.07705942853254374,-0.07683965061903508,-0.10014619503539171,-0.11304651750970568,-0.12409350601661404,-0.12642740516548834
06:00:00,-0.1252227895746943,-0.12370583014562275,-0.15043272823207193,-0.13818508380613156,-0.13138572750462282,-0.13112331710556194
08:00:00,-0.12099087706786073,-0.1277939407175822,-0.15622560200393865,-0.14877405423814227,-0.1374582505609575,-0.13700324181305587
10:00:00,-0.11007639693265697,-0.11363344783903617,-0.13134079543829483,-0.14246630133134897,-0.14099733869388054,-0.14323011763909127
12:00:00,-0.10891861161356424,-0.11228854279068483,-0.1238484172816025,-0.1358045974720297,-0.14393713937754088,-0.15082426906536284
14:00:00,-0.10927253601286611,-0.11195458316966722,-0.12212357130564687,-0.13350926137448985,-0.1484636324602814,-0.16076750719109292
16:00:00,-0.10673836400203165,-0.10833659013824734,-0.12205943485800078,-0.1368422890892801,-0.15648358129476642,-0.17345534553584602
18:00:00,-0.11242187018649914,-0.11129251124257454,-0.14947277478154564,-0.1528215860914954,-0.16887479347065784,-0.18684854049859093
20:00:00,-0.18093372907990515,-0.18019273295546745,-0.1963399026290139,-0.1838790523995642,-0.18323881882900994,-0.19607189958179122
22:00:00,-0.1921717719448921,-0.19557351505783718,-0.19836203084678392,-0.1999830943074076,-0.19390311391451223,-0.19872907731623266
00:00:00,-0.06979351877893178,-0.06272680231721417,-0.08276776966722514,-0.09817603271430847,-0.12182896967032378,-0.13065971012232871
